IslahVoice | 2019/01/25 16:21:50 Succesfully uploaded : Dockerfile 
IslahVoice | 2019/01/25 16:21:50 Succesfully uploaded : README.md 
IslahVoice | 2019/01/25 16:21:50 Succesfully uploaded : eeee.txt 
IslahVoice | 2019/01/25 16:21:50 Succesfully uploaded : jjj.txt 
IslahVoice | 2019/01/25 16:21:58 Succesfully uploaded : main 
IslahVoice | 2019/01/25 16:22:04 Succesfully uploaded : main.exe 
IslahVoice | 2019/01/25 16:22:05 Succesfully uploaded : main.go 
IslahVoice | 2019/01/25 16:22:05 Succesfully uploaded : progressLog.log 
IslahVoice | 2019/01/25 16:22:05 Succesfully uploaded : progressLog.log 
IslahVoice | 2019/01/25 16:22:05 Succesfully uploaded : progressLog.log 
 Logger | 2019/01/25 16:43:54 Succesfully uploaded : progressLog.log 
 Logger | 2019/01/25 16:44:22 Succesfully uploaded : progressLog.log 
