IslahVoice | 2019/01/26 22:26:36 Succesfully logged : New Text Document - Copy (16).txt 
IslahVoice | 2019/01/26 22:26:36 Succesfully logged : main.go 
IslahVoice | 2019/01/26 22:26:36 Succesfully logged : New Text Document - Copy (11).txt 
IslahVoice | 2019/01/26 22:26:36 Succesfully logged : New Text Document - Copy (17).txt 
IslahVoice | 2019/01/26 22:26:36 Succesfully logged : New Text Document - Copy (15).txt 
IslahVoice | 2019/01/26 22:26:36 Succesfully logged : New Text Document - Copy (19).txt 
IslahVoice | 2019/01/26 22:26:36 Succesfully logged : New Text Document - Copy (13).txt 
IslahVoice | 2019/01/26 22:26:36 Succesfully logged : New Text Document - Copy (14).txt 
IslahVoice | 2019/01/26 22:26:36 Succesfully logged : Dockerfile 
IslahVoice | 2019/01/26 22:26:36 Succesfully logged : New Text Document - Copy (10).txt 
IslahVoice | 2019/01/26 22:26:36 Succesfully logged : New Text Document - Copy (4).txt 
IslahVoice | 2019/01/26 22:26:36 Succesfully logged : New Text Document - Copy (18).txt 
IslahVoice | 2019/01/26 22:26:36 Succesfully logged : New Text Document - Copy (2).txt 
IslahVoice | 2019/01/26 22:26:36 Succesfully logged : New Text Document - Copy (3).txt 
IslahVoice | 2019/01/26 22:26:36 Succesfully logged : New Text Document - Copy (7).txt 
IslahVoice | 2019/01/26 22:26:36 Succesfully logged : New Text Document - Copy (12).txt 
IslahVoice | 2019/01/26 22:26:36 Succesfully logged : New Text Document - Copy (20).txt 
IslahVoice | 2019/01/26 22:26:36 Succesfully logged : New Text Document - Copy (6).txt 
IslahVoice | 2019/01/26 22:26:36 Succesfully logged : New Text Document - Copy (8).txt 
IslahVoice | 2019/01/26 22:26:36 Succesfully logged : New Text Document - Copy.txt 
IslahVoice | 2019/01/26 22:26:36 Succesfully logged : progressLog.log 
IslahVoice | 2019/01/26 22:26:36 Succesfully logged : New Text Document.txt 
IslahVoice | 2019/01/26 22:26:36 Succesfully logged : New Text Document - Copy (9).txt 
IslahVoice | 2019/01/26 22:26:36 Succesfully logged : New Text Document - Copy (5).txt 
